business,stars,date,signal,category,phrase,summary,text
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,4 years ago,True,other_comm_problem,"He did not bring all of the required filters, but said he would drop them off later this week.",The technician did not have all necessary materials and promised to deliver them later.,"Sam did a good job & cleaned up after himeself. I usually see the reports on the maintenance the same day, but have not seen them yet.  He did not bring all of the required filters, but said he would drop them off later this week."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,4 years ago,False,none,none,No communication issue.,Same day service and a fair price. Only problem was some scheduling issues. I couldn't set up an appointment online but their phone service was great.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,Edited 4 years ago,False,none,none,No communication issue.,Diagnosed the problem but were unable to fix due to proprietary issues with Carrier. Sam was professional and straight forward. We will continue to call them in the future.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,6 years ago,False,none,none,no communication issue,"I am pleased with.the service conducted by your technician. He is a professional.
Thank you
Sharron Robinson"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,6 years ago,False,none,none,no communication issue,Technician was efficient and knowledgable.  Price was a bit high though so minus one star.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,5 years ago,False,none,none,no communication issue,"Got in touch with management who resolved my complaints to my satisfaction. Thanks, AF1!"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",4,6 years ago,False,none,none,no communication issue,Excellent
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,9 years ago,False,none,none,No communication issue.,"Rick at Air Force One was Great! He was on time, professional. and knowledgeable. I felt like he did only what was necessary and he made me comfortable with his explanations and suggestions of options for the future ( I have relatively old units). This was welcome as I have recently left a ""home war"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,False,none,none,No communication issue.,"Juan is an exceptionally knowledgeable, through, and outgoing tech. He arrived on time and was wearing a mask and stood several feet away from me. I liked that a lot. He took his time checking everything out, looking at an issue with the heat I thought was broken (door on heater ajar-easy fix) and d"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,False,none,none,no communication issue,I could not be more thrilled with my experience with Airforce One. They have been serving my HVAC for over 10 years. This August I had to have AC replaced as it was a very old unit. They replaced it 2 days after it died and the process was simple and seamless. They left no trace of their presence in
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,False,none,none,no communication issue,"Have only used them once, but was very pleased. Kevin came quickly and was very courteous and thorough. Great speedy service at a really great price = very happy customer.

Update: have been using Air Force One for years now and continue to be a very happy customer."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,False,none,none,no communication issue,"We have been President Club members of Air Force 1 for years now, and I recommend them highly. Twice annual check-ups keep us running smoothly with no surprises. The techs are always prompt, professional and highly knowledgeable.  Love this service."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,6 years ago,False,none,none,no communication issue,"Why did I not find out about this place sooner?
Our water heater finally broke down and we ended up having to replace it. After calling around,  I decided to give Air Force One Plumbing  a try and was completed surprised by how amazing of a job they did.  Our plumber was professional and completed t"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,4 years ago,False,none,none,no communication issue,"Javier was amazing! We had a new hot water heater replaced and hydro jetting of our outside drains. The water heater installation was standard, but our outside drains have been a problem for years. He really took the time to try and clear them out as much as possible, even though we think there was "
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,7 years ago,False,none,none,no communication issue,We have been using Air Force One for several years.  The service techs are always polite friendly and professional.  They make sure not to make a mess and if they do they clean it up before they leave.  I have never had a repair or service that I did not need and did not feel pressured or upsold.  W
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,9 years ago,False,none,none,No communication issue was mentioned in this review.,I had my furnace go out last week and called company X. They sent out a technician who misdiagnosed the problem and I was told I would have to spend $500-1000 to replace a hard to find control board on an older unit which might not last and then they proceeded to quote me for a new system. It was no
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,5 years ago,True,after_hours,"I was told that a TXV, which I guess acts like a filter for the Freon needed replacing",The customer had to pay an after-hours fee for a service call.,"Have a 3 1/2 year old system which is under warranty, which decided to stop cooling the Friday before Memorial day weekend.  I bit the bullet and called them out Friday night, and paid the after hours fee.  I was told that a TXV, which I guess acts like a filter for the Freon needed replacing, which"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,6 years ago,False,none,none,No communication issue.,"Very impressed and extremely happy with the work performed on our furnace as well as every person I've communicated with and our technician! Everyone was personable, knowledgeable and professional. First time to have them come to our house and will continue to contact them on all issues the company "
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,9 years ago,False,none,none,no communication issue,Great service from Air Force 1. I've been using these guys for a few years now and all of their technicians are top notch. Dale just recently did my winter inspection and helped immensely with a furnace problem I was having. Great folks! I will continue using them in the future.
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,Edited 5 years ago,False,none,none,no communication issue,"Josue and the entire Air Force One team did a great job. They are very honest, trustworthy, reliable, and very helpful with their work. I would truly recommend the technician and Air Force One company. Their prices are great and an honorable company."
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,8 years ago,False,none,none,No communication issue.,"Very happy with the service I received. These guys thoroughly tested the unit they identified the problem, fixed the issues and then stuck around to make sure everything was in working order. Was leary after a bad experience with another company but pleasently surprised by these guys. They were also"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,8 years ago,False,none,none,no communication issue,"I appreciate their work and timeliness; they came out a total of three visits.  Dale did a good job of explaining what needed to happen and what he planned to do. Ended up costing more than $500 (blown capacitor, cleaning, Freon, etc), but the prices were competitive according to my HVAC buddy.  The"
"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,10 years ago,False,none,none,no communication issue,"Rick was the technician who serviced my unit today, and he was great!  Alerted me to a possible problem with insulation blocking the air flow of the soffits and explained in detail how to change the filters myself so that I could do it monthly.
I'm very happy with the service I get with Air Force On"
K&S Heating and Air,1,4 years ago,True,on_hold,didn't take couple minutes to answer problems I had,The customer experienced long hold times when trying to get their issues addressed.,"Just the worst company to work with.
I originally called because I smell something bad coming out from vents upstair. I also requested for air re-balance because some rooms are too cold during Winter. We were still covered by the warranty.

None of them were fixed!! It didn't take couple minutes to "
K&S Heating and Air,1,2 years ago,True,repeat_calls,"""even with their [they] took over a month""",The customer had to wait over a month for service after scheduling.,"The AC systems in my house were installed by K&S air conditioning which eventually merged with or became Lex Air.  K&S was great for the first few years.  Once they became Lex Air thing truly went downhill.

First they changed to where if you wanted maintenance and priority you had to get their year"
K&S Heating and Air,1,2 years ago,True,repeat_calls,"""After about 5 calls to get them to come out""",The customer had to call multiple times to get the issue resolved.,Do not use this company. I had no choice as my builder used them. I have had so many issues with my units at this point I've lost count. They put the units in around june 2022 with the vent and intake switched around so had to come out and replace the whole plumbing in the attic. After about 5 calls
K&S Heating and Air,1,3 years ago,True,no_callback,never received a call back in an entire week,The customer did not receive a callback after a week of calling.,I have been a customer with this company since 2018 when I purchased my brand new property . Since the beginning the service has been average but nothing to raise any major red flags however today was the breaking point. I had called last week to verify quotes I had received to repair a possible lea
K&S Heating and Air,1,Edited 2 years ago,False,none,none,No communication issue mentioned in the review.,"On June 30th 2023, I submitted a warranty request as I had my home inspected.  The unit was discovered to not be working and putting out as much output as it should.  Altura Builders sent someone from K&S to look at it and he said it was fine.  December 2023 and January 2024 my electric bills were $"
K&S Heating and Air,1,2 years ago,True,repeat_calls,"""I called to schedule Spring 2023 preventative maintenance, but they wanted to book me more than a month out""",The customer had to call multiple times to schedule maintenance.,"Lex Air/ K&S installed a new evap coil and furnace in late 2022, both of which came with a 2-year labor warranty. I called to schedule Spring 2023 preventative maintenance, but they wanted to book me more than a month out, so I had another company perform routine maintenance, where my refrigerant wa"
K&S Heating and Air,1,3 years ago,False,none,none,"No communication issue, the problem was with the repair service itself.","I recently closed on my house. Upon move in, my AC was not blowing cool air at all and we spent the entire weekend without air in this Texas heat. K&S sent out multiple technicians over a period of time for repair. I kept being informed by every technician the “issue” was repaired but it wasn’t. I a"
K&S Heating and Air,1,6 years ago,False,none,none,No communication issue was mentioned in this review.,"My unit was installed by K & S back in 2013, when I had my house built.  It is still under warranty.   This weekend, the unit for upstairs started tripping the breaker in my garage. I had an electrician look at it and he said that it was the air-conditioner compressor outside that was tripping the b"
K&S Heating and Air,1,3 years ago,True,no_callback,"""a technician will contact you shortly and no one contacts me""",The company failed to follow through on promised callbacks to resolve the issue.,"This company is absolutely deplorable. I would give ZERO stars, if possible. The AC unit in my parent's home went out and I have been calling for 3 days. Everytime, they state "" a technician will contact you shortly and no one contacts me"". Its is over 100 degree weather daily. This home is a brand "
K&S Heating and Air,1,4 years ago,True,repeat_calls,"""4 calls by me in 2 days. No call back yesterday afternoon once again.""",The customer had to make multiple calls without receiving a callback.,"Very poor customer service.  Extremely poor communication with customers.  I have had an AC unit that is under warranty that needs to be fixed, that has been broken for 1.5 months in the heat of summer, and its still not  fixed.  Very little communication over 1.5 months from K&S, and only when I ca"
K&S Heating and Air,1,8 years ago,True,no_callback,waited for more than 5 hours for the call,"The customer waited for a promised call that never came, leading to a 5-hour delay.",First Texas Home owner. Everything was good until K&S didn't call me 30 minutes before they arrive as they promised. They went ahead working on my AC unit without my permission. I waited for more than 5 hours for the call and finally they arrived without any notification. Still paid the service. How
K&S Heating and Air,1,2 years ago,False,none,none,no communication issue,A once good company that now only wants to sell you endless repairs on the warranty service.  Last they came out it was an endless list of repair items.  On a hunch we had a different company come and were nor surprised thar we only needed lines tightened.  Also saved money because we didn't need an
K&S Heating and Air,1,3 years ago,True,other_comm_problem,"After calling another company, they opened the coil and we could",The customer had to call another company to get the issue resolved.,"Really bad experience with this company. Technician diagnosed a gas leak, and proposed two options, to refill the gas or do a leak detection and gas refill.
Of course the leak detection would cost additional 250 dollars. Well, if the system is leaking this bad, it was fairly easy to detect the leak "
K&S Heating and Air,1,Edited 6 years ago,False,none,none,No communication issue mentioned in the review.,"Original review 9/20/19: They sent out a subcontractor (did not say K&S on their shirts, had a different company name). The techs told me there were 3 problems: 1. Needed new thermostat, 2. Needed to replace an outdoor wire, 3. Needed to clean the coil

They quoted $450 as the price for the new ther"
K&S Heating and Air,1,5 years ago,True,other_comm_problem,they basically said they no more offer either option,The customer was informed of a change in delivery/pickup policy without being offered alternatives.,I have ordered Filters 20x25x4 from K&S for last 6 years for my current house as they installed the unit when we built the house. Filter used to be delivered for free when their tech used to be in the area or i used to be able to pick it up without any cost. I always purchased the box. Today i calle
K&S Heating and Air,1,3 years ago,False,none,none,No communication issue was mentioned in this review.,"I called Lex Air in May 2022 because my main zone wasn't cooling real well, and was having trouble getting below 75 degrees.  They agreed to send a technician out and perform diagnostics for $80-90 per hvac zone (I have two).  Apparently they dispatch individual technicians from multiple collaborati"
K&S Heating and Air,1,2 years ago,False,none,none,No communication issue mentioned in this review.,"Reggie was a terrific technician; fast, courteous and diagnosed the problem fast. The company charged me $450 for a capacitor that I found online for $39.00..... $39.00. That price did NOT include the service call! $450.00 for a $39.00 part. STAY AWAY FROM THIS COMPANY!"
K&S Heating and Air,1,Edited 5 years ago,True,repeat_calls,"""No one had contacted me at 537pm so I called the company""",The customer had to call the company again to confirm their scheduled service.,"I am only giving this one star becuase zero is not a choice.  My builder used this company to intall the HVAC units on our new build.  I failed to have the HVAC company to come out prior to the end of my builder warranty period with the builder (due to COIVD, my fault I spaced it out).  I called in "
K&S Heating and Air,1,6 years ago,True,other_comm_problem,"""When i called them back they made it a point advise me of a trip charge""",The company was uncooperative and unwilling to help with a follow-up issue.,"I’ve used them for years hoping to develop a good relationship, but they’re work is temporary and just ok. I can’t overlook this last issue where they misdiagnosed my problem, charged me over $800 to fix it only to have my Air go out the very next day with the same problem. When i called them back t"
K&S Heating and Air,1,Edited 5 years ago,True,no_callback,"""guaranteed to get a call back from a technician which never happened""",The company failed to follow through on promised callbacks to address an AC unit issue.,"The one-star review is due to lack of communication, and follow through last week we called with an AC unit issue on two separate occasions. We spoke with whoever is answering the phones for you guys and we're guaranteed to get a call back from a technician which never happened. I called back the fo"
K&S Heating and Air,1,6 years ago,True,repeat_calls,We called around 11 am and was told that they were sending a message to the technician to give us a call for the second time.,The customer had to call multiple times to get an update on their appointment.,My husband called and set up an appointment for Saturday between 8-10am.  We called at 10:15 and was told he might be running behind. We called around 11 am and was told that they were sending a message to the technician to give us a call for the second time. We called at 12pm and got the answering 
K&S Heating and Air,1,4 years ago,True,other_comm_problem,they pay for these fake reviews that hold absolutely no merit,The company's communication was untrustworthy and possibly fake.,I have been waiting for this company to actually show up to do there job for 3 days. 7 month old baby’s don’t like the heat. Literally it’s them coming out and replacing one part. But apparently there to busy to care about any of there consumers. My best guess is they pay for these fake reviews that
K&S Heating and Air,1,5 years ago,True,no_callback,I could never get a call back from them,The customer was unable to get a call back from the company.,"I wish I could give them two different reviews. I had great experiences with their guys, my poor experience was with the office and the brand they sell Lennox. They must know by now how terrible the quality of Lennox is, and yet they continue to sell them as ""high end"". I paid a lot for a whole new "
K&S Heating and Air,1,Edited 4 years ago,True,no_callback,they’ll call a tech and that they will call me back and never call back.,The company failed to follow through on promised callbacks regarding the customer's issue.,Absolutely worst customer service. Everyone I have spoken with has been super short on the phone and rude and one lady even hung up on me. Our air keeps going out in our brand new home and it takes a week to get someone to actually schedule an appointment. I have called and all they say is they’ll c
K&S Heating and Air,1,Edited 4 years ago,True,no_callback,Never did call back.,The company failed to follow through on promised callbacks.,"Doesn't call back. Called and talked with multiple people, all said would call back. Never did.

Update: visited twice, did their maintenance package - not sure what was included in that...

Called them to do a repair on my unit, they said they would call to schedule me for service, again - four day"
K&S Heating and Air,1,3 years ago,True,no_callback,Said someone with call me in 30 minutes.,The company failed to follow through on a promised callback.,This company was paid tens of thousands of dollars to install AC units in my townhouse complex.  At least half have failed.  Today I discovered only 3 air ducts in my house were actually blowing air and hot air at that. Called at 10am said would have someone out between 12 and 5. They no called no s
K&S Heating and Air,1,Edited 6 years ago,True,no_answer,they had no answer,The customer was not provided with a response to their issue.,"They just want to charge money for cleaning the drain instead of fixing the leak even though there is no blockage.  Even after cleaning the drain for  the AC, it is still leaking water into the secondary drain,. Now the technician  cameback and said they need to install the splash guard for 700 $.  "
K&S Heating and Air,1,5 years ago,True,other_comm_problem,She hung up the phone on me when I tried to explain,The customer service representative hung up on the customer.,"The customer service lady was very very rude and disrespectful. She hung up the phone on me when I tried to explain to her that my A/C is not working.
This service uses Lennox coils for the A/C which are known to go bad every time. Its a 104 degrees hot in dallas and she didn’t help me get a technic"
K&S Heating and Air,1,5 years ago,True,no_callback,"""still haven’t heard back from anyone""",The customer was not called back after requesting service.,It has been almost a week since I have requested service and still haven’t heard back from anyone. Reached out to the number for the auto response and she was also no help. She said basically I should call back tomorrow because she couldn’t help me. Not offering to take info or even try to at least 
K&S Heating and Air,1,6 years ago,False,none,none,"No communication issue, review focuses on employee behavior and professionalism.","I have never used them personally but after seeing one of their emplyees at Brookshires screaming at a man, I will never call these people. He peeled out of the parking lot and from the stop sign down the road. He had the logo of his company on the truck. I would be very ashamed to have someone work"
K&S Heating and Air,1,5 years ago,True,no_callback,The CSR promised that the Manager will call me back by end of the Monday,The customer was promised a callback but did not receive one.,My house is under warranty and K and S are the contractors that my builder put me in touch with when my AC stopped working. They came to check the system and found out the refrigerant was leaking. I have been waiting since a month now without AC and they have not fixed my AC yet. The CSR promised th
K&S Heating and Air,1,4 years ago,True,no_callback,not a single phone call,The customer was not called back after being promised a callback.,Called to have system serviced and was told a tech would call back to schedule an appointment.  2 weeks and not a single phone call.  Wouldn't complain but this has happened 3 times before.
K&S Heating and Air,1,4 years ago,True,no_callback,"""right away"" was 10 hours ago",The company failed to follow through on a promised callback within a reasonable timeframe.,This is my first time to ever review any company or service. I Honestly have no idea how this company is still in business.  Our AC has been out since yesterday and I was told this morning that a technician would call me “right away”. That was 10 hours ago.
K&S Heating and Air,1,3 years ago,True,other_comm_problem,They install through builders but do not service their customers.,The company failed to provide service to their customers after installation.,"Beware. They install through builders but do not service their customers. Even if they make a mistake and it’s a warranty call…they want to charge you. Then, if you don’t want to pay because it’s under warranty they stop servicing you."
K&S Heating and Air,1,6 years ago,True,other_comm_problem,didn’t have the courtesy to call and confirm they were running late,The company failed to communicate with the customer about their appointment status.,"Failed to show up for a scheduled appointment and didn’t have the courtesy to call and confirm they were running late or not coming. Perhaps if your not in the right zip code, you need not apply for their help."
K&S Heating and Air,1,4 years ago,False,none,none,"No communication issue, review is about driving skills and vehicle condition.","And worst driver of 2021 goes (bxz2359)
Please use the proper signals when swerving between lanes in your big white van. Also has no brake lights on vehicle"
K&S Heating and Air,1,Edited 3 years ago,False,none,none,no communication issue,"The three places they install dampers the duct is leaking.
Very poor installation and couldn't solve the air balancing problem."
K&S Heating and Air,1,6 years ago,True,other_comm_problem,Worst service,"The customer experienced poor service overall, with no specific communication issue mentioned.",If you have money to waste call these guys. Worst service and no warranty for the work they did.
K&S Heating and Air,1,5 years ago,False,none,none,no communication issue,Do not use this company!!!! The technicians are great but the office staff is horrible & amazingly rude.
K&S Heating and Air,2,a year ago,True,repeat_calls,After calling them 4 times and they said they would have someone reach out to me.,The customer had to call multiple times to get an update on their repair.,Please don't use for emergencies. They came out once to diagnose told me I needed a replacement compressor and then never updated me on when that would be. After calling them 4 times and they said they would have someone reach out to me. So I had no a/c and no communication on when it would be fixed
K&S Heating and Air,2,2 years ago,True,other_comm_problem,The trust between me and the company was violated no one care.,"The company's communication and responsiveness declined after a merger, violating customer trust.","The company has merged with several other companies. Customers service has been lost in the process. Filters were invoiced, yet never changed.  Service was great until the merger. The servicemen seemed to care about their customers and the work. Not sure what is going on but the quality of sevice ha"
K&S Heating and Air,2,Edited 3 years ago,True,on_hold,I then received a text at 3:30pm saying the tech was on his way.,The customer had to wait 1.5 hours for an ETA after calling the service.,Update 7-6: AC lasted 6 days before issues returned. I again could only get a hold of the answering service who wasn't rude but wasn't helpful. I did get a call from K&S the next morning (today) and was told a tech would be out today. I then received a text at 3:30pm saying the tech was on his way. 
K&S Heating and Air,2,3 years ago,True,no_callback,"I was told someone would call me on Friday, even waited 48 hours and no one called.","The customer was not called back as promised, requiring them to call again.","My heater went out starting 11-23-22. I have had a technician come out 3 times. (11/23, 11/28 and 12/1) still no heat. Apparently the first tech ordered the wrong part and as the home owner I’m being punished for it. I was told someone would call me on Friday, even waited 48 hours and no one called."
Dallas Plumbing & Air Conditioning,1,2 months ago,True,other_comm_problem,I was then troubled by how their representative,The customer was troubled by the company representative's response.,"I am writing to express my disappointment with the level of service I have received, especially given the significant amount I paid for it. I invested over $18,000 with your company and, with that, expected a much higher standard of customer service and accountability than what was provided.
I had m"
Dallas Plumbing & Air Conditioning,1,5 months ago,False,none,none,"No communication issue, the problem was with the service provided.","I don't know who does their mailer copy. They offered a Water Heater Flush +  Free Camera Inspection for $79.  Sounded good because I wanted to see how deteriorated the unit is. They got here and told me the camera was for the drains and this was more of a whole house inspection,  which I didn't wan"
Dallas Plumbing & Air Conditioning,1,6 months ago,True,other_comm_problem,"""he called his supervisor for a second opinion""",The customer was dismissed and not given a clear explanation for the initial technician's actions.,"Genuinely had a terrible experience. Called for a drain clearing special, $83 or free. When the technician came out, he did zero diagnostics on the drain and instead insisted on us doing a $500 main drain clean out and $400 for a clean out installation. When he called his supervisor for a second opi"
Dallas Plumbing & Air Conditioning,1,6 months ago,False,none,none,No communication issue mentioned in the review.,"Technician was very late arriving. The appointment was 8-11 am, he showed up at 12:30. He had a thick accent and was. Wry difficult to understand. He had to leave twice to go get parts and still did not have everything he needed to complete the repair. Substantial damage was done to the wall in the "
Dallas Plumbing & Air Conditioning,1,5 months ago,True,other_comm_problem,"""I told them yesterday evening over the phone""",The customer felt their phone call was not properly followed up on.,"Nothing against the techs, but I was just quoted almost $800 to replace $20 worth of PVC.  The coupons I received in the mail are apparently a new thing for the company and must not have been valid for what I needed.  I told them yesterday evening over the phone that I needed the PVC drain line repl"
Dallas Plumbing & Air Conditioning,1,a year ago,False,none,none,No communication issue mentioned in the review.,$1800 main water line repair only lasted 2 weeks.  I thought I had a “new” water issue and called another company to fix it.  Turns out the previous work by Dallas Plumbing was crap and new company fixed it for $750.  They replaced entire line and added new shut off valve rather than patching it up 
Dallas Plumbing & Air Conditioning,1,10 months ago,False,none,none,No communication issue was reported in this review.,"I have used Dallas Plumbing & Air in the past, and really did not have an issue till this last time. I had a leaking toilet that they came out to fix. They replaced a Toilet Fill valve and the flapper/tip lever for $418.00.  If that's overpriced so be it.

However that is not my issue, the tech aske"
Dallas Plumbing & Air Conditioning,1,2 months ago,False,none,none,No communication issue mentioned in the review.,"Came in for a ""free"" maintainance, ended up with a blown compressor.. Never again letting this company near my house.. AVOID AT ALL COST"
Dallas Plumbing & Air Conditioning,1,11 months ago,True,no_answer,no one answered my calls or texts,The customer's calls and texts were not answered after payment.,"WARNING!!!   DANGER!!!

This company is in bankruptcy.  They suggested I replace my hot water heater for greater than $5000.  This did NOT fix the problem.  Once they took my money, no one answered my calls or texts.      They will not make the problem right, yet they were quick to take my money.  A"
Dallas Plumbing & Air Conditioning,1,Edited 11 months ago,True,no_callback,"They no-showed again , no call , no nothing .",The company failed to follow through on scheduled appointments and did not call to cancel.,"So very disappointed in this well known local company. I enrolled in their monthly plan for twice yearly checks on the A/C and heating system . I made an appointment and they no-showed . I called them and they rescheduled for the following day . They no-showed again , no call , no nothing . I was wi"
Dallas Plumbing & Air Conditioning,1,a year ago,True,repeat_calls,I have called 3 times and each time the agent says yes,Customer had to call multiple times to resolve an issue.,"They are complete disaster.  I don't recommend using this company.  They told me that their service charge was $131.00 to come out and diagnose the issue, but if I used their service to fix the problem, I would not be charged the $131.  They did the repairs for me, and I was still charged that.  I h"
